country_name,year,total_fertility_rate,growth_rate,midyear_population,midyear_population_male,midyear_population_female,max_age,kids,adults,youth,seniors,infant_mortality,infant_mortality_male,infant_mortality_female,life_expectancy,life_expectancy_male,life_expectancy_female,mortality_rate_under5
Ghana,1974,6.6512,2.0540000000000003,9889668,9938220,9841116,100.0,4573789,3215044,1818156,282679,81.26,88.8,73.5,52.94,51.55,54.37,153.7
Nepal,1974,5.8656,1.994,12883597,13082308,12684886,100.0,5300938,4742627,2383767,456265,133.85,137.53,130.01,43.53,44.61,42.41,239.25
Congo (Brazzaville),1974,6.2946,2.824,1414408,1362196,1466620,99.5,659049,464456,248083,42820,87.6,96.3,78.63,54.5,52.74,56.31,141.31
Colombia,1974,4.5425,2.2030000000000003,23598134,23382422,23813846,100.0,10534758,7528838,4877555,656983,73.36,78.58,67.95,59.95,58.07,61.89,109.08
Guinea,1974,5.9732,1.979,3939774,3790390,4089158,98.5,1694357,1398488,732761,114168,156.98,167.36,146.28,39.48,38.14,40.86,274.8
Lebanon,1974,4.9557,2.52,2645305,2663874,2626736,100.0,1108072,887367,520644,129222,43.58,46.73,40.28,67.52,65.63,69.51,56.83
Nigeria,1974,7.195,2.9730000000000003,62529409,64360086,60698732,100.0,28584301,20604629,11783048,1557431,125.63,131.15,119.77,44.27,43.68,44.89,229.42
Paraguay,1974,5.459,2.907,2772292,2762238,2782346,100.0,1214973,871469,574869,110981,58.01,64.41,51.29,66.6,64.38,68.93,83.51
Sierra Leone,1974,6.5005,1.901,2973542,2949296,2997788,100.0,1239057,1080901,488255,165329,200.14,215.71,184.1,37.25,35.45,39.11,313.03
Honduras,1974,7.02,3.27,2765159,2748532,2781786,100.0,1369809,802949,514916,77485,103.01,106.86,98.97,54.65,52.28,57.14,152.84
Uganda,1974,7.5482,2.273,10516738,10494882,10538594,100.0,5143994,3167942,1859630,345172,128.33,137.33,119.06,39.66,37.53,41.86,216.45
Angola,1974,7.1985,-2.7710000000000004,6111684,6081578,6141790,99.0,2754332,2035373,1177785,144194,167.43,177.05,157.33,38.84,37.82,39.91,282.6
Cambodia,1974,6.5,0.922,7610543,7518404,7702682,100.0,3330979,2532993,1558356,188215,221.25,244.45,197.01,32.42,28.7,36.31,320.21
Bhutan,1974,6.6617,3.68,359331,377066,341596,96.0,147622,139416,62850,9443,151.55,158.56,144.18,46.49,45.95,47.05,249.22
Gabon,1974,4.5488,6.65,597135,580810,613460,98.0,219348,241680,103336,32771,132.84,146.59,118.68,47.57,45.81,49.38,199.2
Chad,1974,6.4841,2.149,4055702,3939936,4171468,99.0,1789545,1391893,756542,117722,174.97,190.56,158.76,36.3,33.25,39.48,296.12
Djibouti,1974,6.4138,5.03,216363,216312,216414,93.0,92110,76790,40854,6609,124.62,134.36,114.59,49.58,48.1,51.11,179.18
Burma,1974,5.3682,1.85,29770683,29671952,29869414,100.0,12394386,10719858,5543058,1113381,110.83,121.92,99.09,49.79,48.37,51.3,160.63
Congo (Kinshasa),1974,6.3346,2.884,24333992,23626608,25041376,100.0,10882692,8162055,4599175,690070,154.58,165.57,143.26,44.22,42.99,45.5,231.61
Haiti,1974,5.8023,1.959,4866467,4785850,4947084,100.0,2020651,1759357,932285,154174,140.05,151.11,128.86,46.26,44.73,47.81,212.68
Liberia,1974,6.382999999999999,2.539,1575442,1593140,1557744,100.0,686899,544555,290500,53488,170.01,187.19,152.31,42.09,40.54,43.68,252.63
Nicaragua,1974,6.8553,3.173,2319604,2313138,2326070,99.5,1117655,685347,462161,54441,101.26,111.66,90.33,53.71,51.81,55.71,145.7
Central African Republic,1975,5.8765,2.609,2057734,1978824,2136644,97.0,914736,763592,342244,37162,125.96,134.21,117.47,46.16,44.89,47.48,211.87
Paraguay,1975,5.276,2.502,2848211,2838866,2857556,100.0,1235278,899530,598916,114487,58.01,64.41,51.29,66.79,64.55,69.14,82.57
Liberia,1975,6.4694,2.613,1616510,1635870,1597150,99.5,705923,558984,298634,52969,167.89,185.14,150.13,42.4,40.81,44.04,249.44
